model,total,successful,failed,avg_score,min_score,max_score,avg_score_unbounded,min_score_unbounded,max_score_unbounded
cant,680,678,2,-63421807.572,-1000000000.000,100.000,,,
cloudcast/deepseekreasoner,4,4,0,0.000,0.000,0.000,,,
cloudcast/deepseekreasoner.py,1,1,0,0.079,0.079,0.079,,,
cloudcast/gemini2.5pro,4,4,0,0.019,0.000,0.076,,,
cloudcast/gemini2.5pro.py,1,1,0,0.000,0.000,0.000,,,
cloudcast/gemini3pro,4,4,0,0.082,0.000,0.128,,,
cloudcast/gemini3pro.py,1,1,0,0.093,0.093,0.093,,,
cloudcast/gpt5,4,4,0,0.066,0.000,0.089,,,
cloudcast/gpt5.1,3,3,0,0.095,0.080,0.125,,,
cloudcast/gpt5.1.py,1,1,0,0.080,0.080,0.080,,,
cloudcast/gpt5.2,4,4,0,0.079,0.000,0.127,,,
cloudcast/gpt5.2.py,1,1,0,0.000,0.000,0.000,,,
cloudcast/gpt5.py,1,1,0,0.090,0.090,0.090,,,
cloudcast/grok4fastreasoning,4,4,0,0.000,0.000,0.000,,,
cloudcast/grok4fastreasoning.py,1,1,0,0.000,0.000,0.000,,,
cross,34,34,0,31.826,0.000,100.000,,,
decoding,34,34,0,33.582,0.000,100.000,,,
flash,34,34,0,33.574,0.000,100.000,,,
fused,68,68,0,47.214,0.000,100.000,,,
gdpa,34,34,0,26.444,0.000,99.139,,,
gemm,204,204,0,15.900,0.000,100.000,,,
group,34,34,0,50.947,0.000,70.088,,,
imagenet,170,168,2,-35714229.804,-1000000000.000,100.000,,,
llm,82,79,3,17.062,0.000,78.063,,,
mamba2,34,34,0,49.970,0.000,100.000,,,
mixed,34,34,0,61.995,0.000,100.000,,,
poc,2142,2100,42,8.195,0.000,100.000,,,
qknorm/deepseekreasoner,4,4,0,15.021,0.000,60.086,,,
qknorm/deepseekreasoner.py,1,1,0,0.000,0.000,0.000,,,
qknorm/gemini2.5pro,4,4,0,25.000,0.000,100.000,,,
qknorm/gemini2.5pro.py,1,1,0,0.000,0.000,0.000,,,
qknorm/gemini3pro,4,4,0,64.392,0.000,100.000,,,
qknorm/gemini3pro.py,1,1,0,100.000,100.000,100.000,,,
qknorm/gpt5,4,4,0,57.457,0.000,99.993,,,
qknorm/gpt5.1,3,3,0,66.680,0.080,100.000,,,
qknorm/gpt5.1.py,1,1,0,100.000,100.000,100.000,,,
qknorm/gpt5.2,4,4,0,40.963,0.000,100.000,,,
qknorm/gpt5.2.py,1,1,0,99.577,99.577,99.577,,,
qknorm/gpt5.py,1,1,0,15.740,15.740,15.740,,,
qknorm/grok4fastreasoning,4,4,0,24.588,0.000,98.353,,,
qknorm/grok4fastreasoning.py,1,1,0,0.000,0.000,0.000,,,
ragged,34,34,0,30.880,0.000,100.000,,,
symbolic,170,170,0,81.411,0.000,100.000,,,
vdb,170,170,0,69.075,0.000,100.000,,,
vector,102,102,0,26.400,0.000,100.000,,,
